code,system
2BE3.00,readv2
F172.00,readv2
F17z.11,readv2
F170.00,readv2
F170z00,readv2
F170000,readv2
F17z.12,readv2
N337100,readv2
P2x2.00,readv2
P2x5.00,readv2
F170100,readv2
F171.00,readv2
F171z00,readv2
F171000,readv2
F171100,readv2
FyuAC00,readv2
103862.0,med
105257.0,med
10733.0,med
16167.0,med
16368.0,med
16471.0,med
16789.0,med
17067.0,med
22097.0,med
22849.0,med
2748.0,med
30069.0,med
30668.0,med
31616.0,med
33257.0,med
40383.0,med
4098.0,med
41595.0,med
45647.0,med
49664.0,med
50099.0,med
5600.0,med
56230.0,med
57586.0,med
61889.0,med
62733.0,med
70344.0,med
7197.0,med
72889.0,med
93531.0,med
95745.0,med
95878.0,med
F173.00,readv2
F175.00,readv2
F347.00,readv2
F369.00,readv2
N33C.00,readv2
N337.00,readv2
N337.11,readv2
N337.12,readv2
N337111,readv2
N337200,readv2
N337300,readv2
N337400,readv2
N337z00,readv2
G99.0,icd10
M89.0,icd10
